date,Lunch ,Dinner ,Total
Sun 2 Aug 20,4.792,8.939,13.731
Mon 3 Aug 20,1.74,6.655,8.394
Tue 4 Aug 20,3.267,8.684,11.952
Wed 5 Aug 20,2.082,8.422,10.608
Thu 6 Aug 20,1.789,7.826,9.615
Fri 7 Aug 20,2.174,10.287,12.504
Sat 8 Aug 20,4.123,13.847,18.198
Sun 9 Aug 20,3.604,9.202,12.806
Mon 10 Aug 20,1.596,9.068,10.665
Tue 11 Aug 20,2.027,10.357,12.644
Wed 12 Aug 20,2.973,8.535,11.666
Thu 13 Aug 20,2.898,8.127,11.025
Fri 14 Aug 20,2.867,11.641,14.651
Sat 15 Aug 20,4.04,14.331,18.371
Sun 16 Aug 20,4.324,7.704,12.028
Mon 17 Aug 20,2.314,5.765,8.08
Tue 18 Aug 20,1.682,6.825,8.626
Wed 19 Aug 20,2.257,6.303,8.872
Thu 20 Aug 20,1.883,9.586,11.54
Fri 21 Aug 20,2.756,9.231,11.987
Sat 22 Aug 20,2.798,11.647,14.445
Sun 23 Aug 20,2.56,7.63,10.251
Mon 24 Aug 20,1.197,6.875,8.073
Tue 25 Aug 20,1.734,5.917,7.654
Wed 26 Aug 20,1.649,5.989,7.652
Thu 27 Aug 20,2.229,6.884,9.119
Fri 28 Aug 20,3.137,10.59,13.911
Sat 29 Aug 20,4.008,12.257,16.329
Sun 30 Aug 20,3.453,5.912,9.369
Mon 31 Aug 20,1.956,5.618,7.574
Tue 1 Sept 20,2.805,5.419,8.247
Wed 2 Sept 20,1.887,4.257,6.261
Thu 3 Sept 20,1.388,6.438,7.826
Fri 4 Sept 20,2.198,10.768,13.146
Sat 5 Sept 20,3.807,11.431,15.238
Sun 6 Sept 20,2.968,7.835,10.804
Mon 7 Sept 20,1.525,5.305,6.837
Tue 8 Sept 20,1.643,5.94,7.626
Wed 9 Sept 20,1.307,5.31,6.678
Thu 10 Sept 20,1.459,6.201,7.771
Fri 11 Sept 20,2.75,9.538,12.413
Sat 12 Sept 20,4.131,12.026,16.156
Sun 13 Sept 20,3.153,6.873,10.208
Mon 14 Sept 20,2.045,6.281,8.326
Tue 15 Sept 20,2.241,6.551,8.845
Wed 16 Sept 20,1.778,4.068,5.871
Thu 17 Sept 20,1.956,5.475,7.457
Fri 18 Sept 20,2.193,8.205,10.439
Sat 19 Sept 20,3.796,11.184,14.98
Sun 20 Sept 20,1.907,5.969,7.876
Mon 21 Sept 20,1.204,3.966,5.171
Tue 22 Sept 20,1.638,6.352,8.049
Wed 23 Sept 20,1.172,3.584,4.775
Thu 24 Sept 20,1.74,5.3,7.081
Fri 25 Sept 20,1.154,8.04,9.258
Sat 26 Sept 20,3.803,12.294,16.13
Sun 27 Sept 20,3.141,5.121,8.262
Mon 28 Sept 20,1.201,2.553,3.754
Tue 29 Sept 20,1.679,2.377,4.056
Wed 30 Sept 20,399.0,3.863,4.343
Thu 1 Oct 20,941.0,2.383,3.324
Fri 2 Oct 20,914.0,5.566,6.646
Sat 3 Oct 20,1.717,7.456,9.173
Sun 4 Oct 20,2.385,4.2,6.585
Mon 5 Oct 20,1.755,2.388,4.143
Tue 6 Oct 20,1.148,2.346,3.494
Wed 7 Oct 20,1.167,2.391,3.557
Thu 8 Oct 20,568.0,4.033,4.601
Fri 9 Oct 20,1.203,5.256,6.473
Sat 10 Oct 20,3.07,6.265,9.36
Sun 11 Oct 20,2.99,5.446,8.435
Mon 12 Oct 20,1.267,3.242,4.509
Tue 13 Oct 20,1.72,5.007,6.727
Wed 14 Oct 20,1.707,6.234,7.996
Thu 15 Oct 20,0.0,0.0,0.0
Fri 16 Oct 20,0.0,0.0,0.0
Sat 17 Oct 20,0.0,0.0,0.0
Sun 18 Oct 20,0.0,52.0,52.0
Mon 19 Oct 20,0.0,0.0,0.0
Tue 20 Oct 20,0.0,0.0,0.0
Wed 21 Oct 20,0.0,0.0,0.0
Thu 22 Oct 20,0.0,0.0,0.0
Fri 23 Oct 20,0.0,0.0,0.0
Sat 24 Oct 20,0.0,0.0,0.0
Sun 25 Oct 20,0.0,0.0,0.0
Mon 26 Oct 20,0.0,0.0,0.0
Tue 27 Oct 20,0.0,0.0,0.0
Wed 28 Oct 20,0.0,0.0,0.0
Thu 29 Oct 20,0.0,0.0,0.0
Fri 30 Oct 20,0.0,0.0,0.0
Sat 31 Oct 20,0.0,0.0,0.0
Sun 1 Nov 20,0.0,0.0,0.0
Mon 2 Nov 20,0.0,0.0,0.0
Tue 3 Nov 20,0.0,0.0,0.0
Wed 4 Nov 20,0.0,0.0,0.0
Thu 5 Nov 20,0.0,0.0,0.0
Fri 6 Nov 20,0.0,0.0,0.0
Sat 7 Nov 20,0.0,0.0,0.0
Sun 8 Nov 20,0.0,123.0,123.0
Mon 9 Nov 20,0.0,0.0,0.0
Tue 10 Nov 20,0.0,0.0,0.0
Wed 11 Nov 20,0.0,0.0,0.0
Thu 12 Nov 20,0.0,0.0,0.0
Fri 13 Nov 20,0.0,0.0,0.0
Sat 14 Nov 20,0.0,0.0,0.0
Sun 15 Nov 20,0.0,0.0,0.0
Mon 16 Nov 20,0.0,0.0,0.0
Tue 17 Nov 20,0.0,0.0,0.0
Wed 18 Nov 20,0.0,0.0,0.0
Thu 19 Nov 20,0.0,0.0,0.0
Fri 20 Nov 20,0.0,0.0,0.0
Sat 21 Nov 20,0.0,0.0,0.0
Sun 22 Nov 20,0.0,0.0,0.0
Mon 23 Nov 20,0.0,0.0,0.0
Tue 24 Nov 20,0.0,0.0,0.0
Wed 25 Nov 20,0.0,0.0,0.0
Thu 26 Nov 20,0.0,0.0,0.0
Fri 27 Nov 20,0.0,0.0,0.0
Sat 28 Nov 20,0.0,0.0,0.0
Sun 29 Nov 20,0.0,0.0,0.0
Mon 30 Nov 20,0.0,0.0,0.0
